"idProduct","Avg. Sell Price","Low Price","Trend Price","German Pro Low","Suggested Price","Foil Sell","Foil Low","Foil Trend","Low Price Ex+","AVG1","AVG7","AVG30","Foil AVG1","Foil AVG7","Foil AVG30",
1,0.03,0.01,0.05,0.04,0.02,0.15,0.09,0.14,0.01,0.01,0.03,0.04,0.05,0.16,0.24
2,0.05,0.01,0.03,0.02,0.01,,0.02,0.14,0.01,0.02,0.05,0.06,0.02,0.22,0.28
3,0.03,0.01,0.10,0.02,0.02,0.29,0.09,0.29,0.01,0.06,0.04,0.07,0.29,0.24,0.19
4,0.65,0.05,0.64,0.55,0.79,2.22,1.20,2.26,0.10,0.51,0.70,0.67,0.99,1.83,2.66
5,0.03,0.01,0.06,0.02,0.01,,0.05,0.12,0.01,0.24,0.04,0.05,0.10,0.11,0.12
6,0.09,0.01,0.09,0.02,0.09,,0.02,0.30,0.01,0.02,0.09,0.07,0.20,0.33,0.29
7,0.02,0.01,0.02,0.02,0.01,0.25,0.02,0.25,0.01,0.02,0.02,0.04,0.25,0.32,0.29
8,0.77,0.15,0.77,0.76,0.55,3.86,0.98,3.92,0.15,0.68,0.85,0.82,3.86,3.49,3.34
9,0.08,0.01,0.13,0.02,0.02,0.09,0.02,0.19,0.01,0.05,0.09,0.09,0.09,0.35,0.44
10,0.09,0.01,0.13,0.02,0.02,0.32,0.05,0.35,0.01,0.02,0.12,0.08,0.05,0.35,0.36
11,0.12,0.01,0.10,0.02,0.02,0.63,0.05,0.62,0.02,0.15,0.12,0.14,0.70,0.62,0.51
12,0.05,0.01,0.04,0.02,0.01,,0.03,0.22,0.01,0.12,0.03,0.03,0.25,0.14,0.13
13,0.14,0.02,0.19,0.13,0.07,,0.24,0.65,0.02,0.14,0.16,0.15,0.20,0.66,0.62
14,0.17,0.02,0.19,0.15,0.25,,0.24,1.27,0.02,0.17,0.16,0.16,0.50,1.22,0.92
15,0.22,0.02,0.21,0.20,0.27,0.75,0.30,1.51,0.03,0.20,0.21,0.24,0.75,1.59,1.59
16,0.06,0.01,0.12,0.03,0.12,0.79,0.10,1.07,0.01,0.50,0.13,0.08,0.45,0.81,1.04
17,0.04,0.01,0.07,0.02,0.01,0.25,0.09,0.34,0.01,0.12,0.04,0.06,0.25,0.40,0.23
18,0.05,0.01,0.06,0.03,0.02,0.05,0.05,0.24,0.01,0.10,0.05,0.08,0.05,0.21,0.21
19,0.32,0.02,0.26,0.11,0.50,3.11,0.20,3.41,0.02,0.05,0.40,0.32,1.48,3.66,3.94
20,0.73,0.05,0.72,0.65,0.88,2.61,0.99,3.56,0.05,0.64,0.74,0.73,1.50,3.10,3.85
21,0.03,0.01,0.03,0.02,0.10,0.20,0.05,0.27,0.01,0.05,0.03,0.07,0.20,0.35,0.24
22,0.02,0.01,0.03,0.02,0.01,0.15,0.05,0.23,0.01,0.02,0.02,0.05,0.25,0.20,0.21
